id,submission_time,view_number,vote_number,title,message,image
0,1493368154,102,7,How to make lists in Python?,"I am totally new to this, any hints?",
1,1493068124,53,10,Wordpress loading multiple jQuery Versions,"I developed a plugin that uses the jquery booklet plugin (http://builtbywill.com/booklet/#/) this plugin binds a function to $ so I cann call $('.myBook').booklet();
I could easy managing the loading order with wp_enqueue_script so first I load jquery then I load booklet so everything is fine.

BUT in my theme i also using jquery via webpack so the loading order is now following:

jquery
booklet
app.js (bundled file with webpack, including jquery)",images/image1.png
10,1552553300,2,0,nowe pytanko,na sprawdzenie czy doda sie 11 rekord,images_4.jpg
11,1552553486,7,0,jeszcze raz sprawdzamy,czy id nada sie powyzej 10 inie nadpisze 10,images_5.jpg
12,1552560039,3,0,kurde,czemu nie ddzia³a,images.jpg
13,1552564264,3,0,chyba wiosna bedzie nasza,czyzby?,article-1027580-01A9C2F200000578-915_233x308.jpg
14,1552567388,15,1,nowe pytanie na powa¿nie,jak jutro prezentujemy?,images_7.jpg
3,1552470158,16,0,no to jeszcze raz to samo pytanie,"no wlasnie co tu zrobic, a wazniejsze jeszcze jak pokazac odpowiedz do pytania, czy jakos pod spodem (pod pytaniem) czy moï¿½e jakoï¿½ obok? no i co technicznie zastosowac?",images_2.jpg
6,1552480620,20,2,czy nic sie nie zmienilo?,sprawdzam czy dziala jak natura chciala,8f16499c236301ff30a77ae942e73fc8.jpg
8,1552509457,3,1,jak zrobic forum,chodzi o weganskie kokosanki,pobrane.jpg
9,1552513665,3,1,asfafs,asafaf,pobrane_1.jpg
