id,submission_time,vote_number,question_id,message,image
0,1493398154,4,0,You need to use brackets: my_list = [],
1,1493088154,35,0,Look it up in the Python docs,
10,1552553026,0,10,shwhhwhh,
11,1552553498,0,11,sdfsgsd,
12,1552553501,0,11,sfdsdfsf,13
13,1552567460,0,14,chyba ryba,
14,1552567480,0,14,"chyba ryba

",
15,1552567503,0,14,chyba ryba3,
16,1552567511,0,14,chyba ryba4,
18,1552570625,1,3,trzeba sie wyspac,images_1.jpg
2,1552509493,0,6,no dzia�a,
3,1552514238,0,0,no ba,
4,1552515474,0,1,afafasf,
5,1552552960,0,10,dfsdf,
6,1552552963,0,10,sdfsdf,
7,1552552967,0,10,sdfsfdfs,
9,1552552973,0,10,sdfsfdf,
